"order_id","user_id","order_number","order_dow","order_hour_of_day","days_since_prior_order"
1187899,1,11,4,"08",14
1492625,2,15,1,"11",30
2196797,5,5,0,"11",6
525192,7,21,2,"11",6
880375,8,4,1,"14",10
1094988,9,4,6,"10",30
1822501,10,6,0,"19",30
1827621,13,13,0,"21",8
2316178,14,14,2,"19",11
2180313,17,41,3,"10",30
2461523,18,7,6,"09",7
1854765,21,34,1,"12",28
3402036,23,5,1,"12",30
965160,24,19,0,"16",0
2614670,27,82,5,"14",4
3110252,29,19,4,"11",13
62370,30,9,2,"13",22
698604,34,6,4,"13",30
1524161,37,24,0,"13",16
3173750,38,13,0,"09",30
2032076,41,6,0,"20",30
2803975,42,17,0,"11",14
1864787,43,12,5,"11",26
2436259,44,4,0,"12",30
1947848,46,20,4,"20",11
2906490,47,6,4,"22",16
2924697,48,11,5,"18",14
519514,49,9,4,"12",2
1750084,50,68,3,"09",7
1647290,52,28,4,"16",3
3088145,53,4,2,"10",13
39325,55,8,2,"18",30
13318,56,13,1,"09",6
1651215,59,11,0,"12",10
1019719,62,11,2,"12",29
2989905,63,40,6,"08",13
2639013,64,11,0,"13",27
1072954,65,15,6,"17",30
34647,66,7,3,"19",23
2757217,67,25,0,"11",5
669729,70,14,5,"12",30
3038639,71,24,5,"13",17
2608424,72,13,2,"14",30
482516,74,6,4,"07",10
3294399,76,10,4,"08",14
1700658,78,7,6,"11",7
21708,79,8,0,"06",30
2178718,80,13,2,"08",8
1734166,81,8,5,"18",8
859654,82,20,1,"10",13
2424438,83,7,2,"16",30
2276967,84,9,0,"13",14
613340,86,18,6,"12",6
1855447,87,28,3,"17",8
3081445,88,8,3,"18",23
2222431,89,21,6,"18",6
1318796,90,72,5,"09",2
637547,91,16,1,"10",11
1179185,93,15,1,"10",5
1227088,95,9,5,"12",21
531345,96,17,1,"11",30
3178964,97,6,6,"19",6
1289863,99,19,2,"11",22
2591641,102,7,0,"20",30
926418,103,18,2,"14",20
2364180,104,6,4,"10",10
2298088,105,8,3,"10",30
2549875,106,4,6,"13",8
515014,108,8,6,"15",6
1997693,109,7,1,"11",21
72069,110,21,1,"10",6
3105153,111,8,4,"11",4
3032922,112,27,2,"18",6
1645824,113,6,5,"17",30
2759030,114,5,0,"10",2
2618023,115,13,1,"18",15
878518,116,7,5,"12",4
1438423,117,12,0,"18",4
1248129,118,28,1,"07",30
461193,119,4,0,"14",30
961032,120,4,2,"09",30
2652217,121,11,3,"06",21
1721370,123,11,0,"11",0
2733614,124,9,1,"08",21
1543042,125,14,1,"19",11
1095948,128,12,4,"16",4
2437480,130,4,3,"12",12
2106151,131,10,0,"09",18
