Date,Open,High,Low,Close,Volume
26-Mar-14,67.76,68.05,67.18,67.25,1785164
25-Mar-14,67.61,67.93,67.34,67.73,1571625
24-Mar-14,67.73,68.00,66.99,67.26,1742341
21-Mar-14,68.41,68.41,67.29,67.55,3639114
20-Mar-14,67.58,68.12,67.52,67.82,1328860
19-Mar-14,68.40,68.61,67.43,67.89,2116779
18-Mar-14,68.24,68.50,68.13,68.31,1841733
17-Mar-14,68.53,68.73,67.55,68.10,3135071
14-Mar-14,68.30,69.11,68.25,68.30,2519323
13-Mar-14,69.52,69.52,68.37,68.53,2172587
12-Mar-14,68.88,69.26,68.87,69.18,1672069
11-Mar-14,69.34,69.59,69.19,69.29,2692416
10-Mar-14,69.31,69.71,69.00,69.46,4342379
7-Mar-14,68.56,69.68,68.52,69.16,3368072
6-Mar-14,68.05,68.71,68.01,68.26,3109129
5-Mar-14,68.19,68.86,67.96,68.77,2262529
4-Mar-14,68.40,68.46,67.94,68.02,2283765
3-Mar-14,67.37,68.19,67.19,67.86,2015205
28-Feb-14,67.63,68.06,67.21,67.82,2552423
27-Feb-14,67.60,68.19,66.88,67.40,3935216
26-Feb-14,67.37,68.44,67.35,68.14,3653818
25-Feb-14,66.27,67.37,65.85,67.19,5812409
24-Feb-14,65.27,66.14,65.01,65.99,2087256
21-Feb-14,64.94,65.28,64.46,64.99,2513954
20-Feb-14,65.74,66.16,64.97,65.13,2289027
19-Feb-14,65.38,65.91,65.06,65.49,2138666
18-Feb-14,66.07,66.25,65.46,65.69,2213494
14-Feb-14,64.75,66.10,64.70,65.96,2522555
13-Feb-14,64.46,65.37,64.05,64.93,2855099
12-Feb-14,64.38,64.90,64.08,64.59,2811625
11-Feb-14,64.58,64.65,64.05,64.24,2284295
10-Feb-14,64.11,65.00,64.00,64.31,2668718
7-Feb-14,64.10,64.55,63.28,64.11,2757487
6-Feb-14,63.08,64.24,63.08,64.00,3076483
5-Feb-14,63.68,63.79,62.90,63.05,2251383
4-Feb-14,63.00,64.10,62.84,63.73,2963171
3-Feb-14,64.41,64.41,62.12,62.68,3039729
31-Jan-14,63.43,64.49,63.26,63.85,2107357
