Date,Open,High,Low,Close,Volume
26-Mar-14,5.63,5.71,5.43,5.52,158853
25-Mar-14,5.43,5.67,5.34,5.57,255168
24-Mar-14,5.68,5.74,5.40,5.40,219552
21-Mar-14,5.69,5.80,5.67,5.69,160431
20-Mar-14,5.84,5.86,5.66,5.68,213300
19-Mar-14,5.48,5.88,5.40,5.84,512032
18-Mar-14,5.45,5.55,5.40,5.50,70473
17-Mar-14,5.48,5.49,5.41,5.46,82466
14-Mar-14,5.35,5.48,5.35,5.42,67909
13-Mar-14,5.47,5.47,5.35,5.36,111463
12-Mar-14,5.44,5.49,5.40,5.46,109687
11-Mar-14,5.45,5.55,5.40,5.47,192889
10-Mar-14,5.37,5.50,5.37,5.46,111430
7-Mar-14,5.42,5.50,5.27,5.41,271196
6-Mar-14,5.44,5.45,5.38,5.41,222328
5-Mar-14,5.43,5.49,5.35,5.43,180992
4-Mar-14,5.34,5.50,5.34,5.46,367360
3-Mar-14,5.29,5.33,5.10,5.31,240370
28-Feb-14,5.30,5.48,5.21,5.26,406262
27-Feb-14,5.28,5.36,5.22,5.28,397354
26-Feb-14,5.32,5.40,5.29,5.31,162152
25-Feb-14,5.24,5.37,5.24,5.30,185213
24-Feb-14,5.29,5.32,5.26,5.27,212529
21-Feb-14,5.24,5.32,5.20,5.24,268655
20-Feb-14,5.13,5.29,5.06,5.20,198971
19-Feb-14,4.97,5.16,4.95,5.15,360252
18-Feb-14,5.30,5.30,4.85,5.00,831250
14-Feb-14,5.46,5.51,5.30,5.32,204183
13-Feb-14,5.59,5.67,5.45,5.50,280629
12-Feb-14,5.65,5.74,5.51,5.61,377797
11-Feb-14,5.56,5.62,5.50,5.62,331538
10-Feb-14,5.43,5.58,5.41,5.55,304282
7-Feb-14,5.40,5.45,5.28,5.40,199970
6-Feb-14,5.25,5.44,5.25,5.39,221291
5-Feb-14,5.26,5.29,5.15,5.25,382986
4-Feb-14,5.08,5.32,5.06,5.30,323652
3-Feb-14,5.04,5.13,5.00,5.08,306007
31-Jan-14,5.11,5.20,5.02,5.04,361573
30-Jan-14,4.86,5.18,4.77,5.11,252639
29-Jan-14,5.17,5.17,4.75,4.76,419962
28-Jan-14,4.70,5.11,4.70,5.01,330504
27-Jan-14,4.86,4.90,4.65,4.70,283775
24-Jan-14,5.00,5.02,4.85,4.92,549222
23-Jan-14,5.05,5.05,5.01,5.03,108149
22-Jan-14,5.10,5.12,5.02,5.07,91153
21-Jan-14,5.18,5.18,5.04,5.08,188607
17-Jan-14,5.04,5.18,5.04,5.11,141073
16-Jan-14,5.02,5.07,5.00,5.07,196021
15-Jan-14,5.10,5.15,5.01,5.03,140084
14-Jan-14,5.07,5.15,5.00,5.11,139629
13-Jan-14,5.14,5.18,5.00,5.03,210661
10-Jan-14,5.26,5.26,5.13,5.16,242474
9-Jan-14,5.22,5.29,5.12,5.20,263231
8-Jan-14,5.32,5.32,5.20,5.22,104610
7-Jan-14,5.32,5.35,5.28,5.31,108176
6-Jan-14,5.26,5.33,5.16,5.30,126401
3-Jan-14,5.33,5.33,5.12,5.22,304884
2-Jan-14,5.35,5.35,5.20,5.29,108720
31-Dec-13,5.38,5.45,5.30,5.41,163610
30-Dec-13,5.40,5.55,5.35,5.39,89381
27-Dec-13,5.50,5.53,5.38,5.40,108231
26-Dec-13,5.47,5.54,5.41,5.48,76662
24-Dec-13,5.38,5.47,5.29,5.44,68008
23-Dec-13,5.50,5.50,5.36,5.39,247492
20-Dec-13,5.10,5.46,4.99,5.44,472265
19-Dec-13,5.05,5.15,5.00,5.10,115249
18-Dec-13,5.16,5.20,4.99,5.10,222816
17-Dec-13,4.91,5.27,4.84,5.14,493377
16-Dec-13,4.93,4.95,4.84,4.91,96127
13-Dec-13,4.96,4.97,4.86,4.89,114197
12-Dec-13,4.96,4.96,4.79,4.93,216552
11-Dec-13,4.99,5.02,4.91,4.97,119458
10-Dec-13,4.90,5.03,4.89,5.00,204719
9-Dec-13,5.10,5.10,4.89,4.91,97832
6-Dec-13,5.04,5.11,4.93,5.08,369192
5-Dec-13,5.14,5.14,4.84,4.96,303893
4-Dec-13,5.10,5.18,5.05,5.15,146332
3-Dec-13,5.05,5.14,5.01,5.12,247151
2-Dec-13,5.09,5.14,5.00,5.08,381613
29-Nov-13,5.03,5.10,4.94,5.09,162677
