Date,Open,High,Low,Close,Volume
26-Mar-14,32.12,32.75,31.69,31.79,168393
25-Mar-14,31.84,32.10,31.17,31.77,147837
24-Mar-14,31.73,32.45,31.21,31.60,100213
21-Mar-14,32.75,33.17,31.54,31.82,346405
20-Mar-14,32.89,33.49,32.30,32.71,128602
19-Mar-14,32.98,33.40,32.36,33.36,140001
18-Mar-14,31.45,33.04,31.26,33.02,286519
17-Mar-14,31.49,32.15,31.16,31.28,182015
14-Mar-14,31.20,31.80,31.12,31.40,109614
13-Mar-14,32.11,32.32,31.35,31.36,148504
12-Mar-14,31.28,32.20,31.28,32.20,141821
11-Mar-14,31.88,31.90,31.30,31.40,190956
10-Mar-14,32.17,32.47,31.82,32.06,117877
7-Mar-14,33.41,33.70,32.52,32.58,248026
6-Mar-14,33.90,34.82,32.10,33.35,415693
5-Mar-14,34.00,34.65,33.62,33.99,136431
4-Mar-14,32.73,34.28,32.51,34.00,324597
3-Mar-14,32.27,32.75,31.66,32.04,396302
28-Feb-14,31.75,32.18,30.45,31.05,194565
27-Feb-14,31.63,32.43,31.34,31.66,105416
26-Feb-14,32.74,32.74,31.64,31.75,154479
25-Feb-14,31.44,32.62,31.04,32.57,163047
24-Feb-14,31.02,31.77,30.93,31.63,127302
21-Feb-14,31.29,31.29,30.79,31.05,209443
20-Feb-14,31.64,31.99,31.10,31.12,152211
19-Feb-14,32.47,32.47,31.50,31.53,159097
18-Feb-14,30.52,32.22,30.50,32.15,215847
14-Feb-14,30.58,30.91,30.50,30.81,118122
13-Feb-14,30.10,30.87,30.10,30.53,153699
12-Feb-14,30.54,30.74,30.16,30.30,112937
11-Feb-14,31.24,31.26,30.58,30.65,90850
10-Feb-14,31.05,31.53,31.05,31.28,197776
7-Feb-14,30.53,31.34,30.21,31.28,183526
6-Feb-14,29.79,31.08,29.62,30.63,168624
5-Feb-14,29.85,29.91,29.02,29.82,190174
4-Feb-14,30.34,30.70,29.88,29.93,198871
3-Feb-14,30.74,30.90,30.17,30.31,199712
31-Jan-14,31.15,31.30,30.80,31.00,221052
30-Jan-14,31.43,31.68,31.19,31.60,121753
29-Jan-14,31.34,31.46,31.00,31.24,187574
28-Jan-14,31.32,31.71,31.32,31.55,153508
27-Jan-14,30.88,31.44,30.68,31.30,162478
24-Jan-14,31.28,31.38,30.75,30.97,179827
23-Jan-14,31.69,31.69,31.25,31.59,97847
22-Jan-14,32.06,32.36,31.73,31.86,286832
21-Jan-14,32.00,32.49,31.70,32.14,138176
17-Jan-14,32.16,32.21,31.81,32.03,109269
16-Jan-14,31.94,32.54,31.89,32.28,150498
15-Jan-14,31.83,32.75,31.14,31.80,220283
14-Jan-14,31.90,33.13,31.75,32.95,163025
13-Jan-14,31.71,32.37,31.49,31.90,247705
10-Jan-14,31.23,32.00,30.91,31.93,182898
9-Jan-14,31.20,31.65,31.02,31.27,197011
8-Jan-14,31.41,31.50,30.93,31.21,365698
7-Jan-14,31.26,31.74,31.13,31.52,231733
6-Jan-14,31.39,31.42,30.94,31.29,220336
3-Jan-14,32.00,32.05,31.02,31.42,159210
2-Jan-14,32.55,32.55,31.90,32.03,177934
31-Dec-13,32.55,32.71,32.20,32.58,145999
30-Dec-13,32.78,33.00,32.44,32.61,132824
27-Dec-13,32.83,33.10,32.63,32.78,66151
26-Dec-13,32.81,32.99,32.69,32.83,69857
24-Dec-13,32.57,32.96,32.46,32.80,67337
23-Dec-13,32.65,32.88,32.24,32.58,198544
20-Dec-13,32.72,32.98,32.59,32.64,1314807
19-Dec-13,31.90,32.78,31.80,32.57,239311
18-Dec-13,31.72,32.20,31.72,32.02,269734
17-Dec-13,32.20,32.20,31.84,31.99,224052
16-Dec-13,32.07,32.37,32.04,32.15,228858
13-Dec-13,32.37,32.44,32.22,32.40,85788
12-Dec-13,32.49,32.54,32.36,32.40,83617
11-Dec-13,32.71,32.80,32.42,32.44,191967
10-Dec-13,32.42,32.79,32.42,32.60,120401
9-Dec-13,32.69,32.79,32.41,32.56,237304
6-Dec-13,32.46,32.88,32.43,32.83,77370
5-Dec-13,32.40,32.66,32.30,32.37,172984
4-Dec-13,32.02,32.75,32.02,32.48,126527
3-Dec-13,32.57,32.84,32.01,32.02,173258
2-Dec-13,32.86,32.90,32.54,32.72,192912
29-Nov-13,33.00,33.02,32.85,32.98,66487
27-Nov-13,32.91,33.04,32.81,32.97,74492
26-Nov-13,32.61,33.00,32.61,32.96,148426
25-Nov-13,32.91,32.99,32.78,32.91,81557
22-Nov-13,32.82,33.08,32.52,32.96,157626
21-Nov-13,33.25,33.29,32.80,32.96,271605
20-Nov-13,33.00,33.49,32.80,33.00,143367
19-Nov-13,33.00,33.53,32.80,32.97,174928
18-Nov-13,33.02,33.45,32.89,33.09,162851
15-Nov-13,32.59,33.03,32.47,32.99,183324
14-Nov-13,31.79,32.90,31.75,32.69,244837
13-Nov-13,30.96,32.79,30.76,32.03,260172
12-Nov-13,30.98,31.32,30.65,31.30,352926
11-Nov-13,30.58,31.96,30.58,31.19,403802
8-Nov-13,30.68,31.80,30.02,31.04,994720
7-Nov-13,31.61,31.69,30.34,31.15,968728
6-Nov-13,32.32,32.55,31.44,31.59,1052509
5-Nov-13,32.22,32.56,31.50,32.21,452628
4-Nov-13,31.55,32.75,30.39,32.56,1065076
1-Nov-13,34.60,35.50,31.65,32.20,785438
31-Oct-13,34.41,36.39,33.58,35.10,2051481
30-Oct-13,33.52,34.66,33.52,34.52,74306
29-Oct-13,33.13,34.73,32.94,33.60,122949
28-Oct-13,33.93,33.93,32.11,33.05,34448
25-Oct-13,34.50,36.99,32.57,33.53,66857
24-Oct-13,33.00,33.50,33.00,33.22,8826
23-Oct-13,33.70,33.70,33.00,33.45,8630
22-Oct-13,33.15,33.94,32.70,33.50,5016
21-Oct-13,33.00,33.22,32.00,33.15,10081
18-Oct-13,32.25,33.90,32.25,33.90,1285
17-Oct-13,31.80,32.15,31.80,31.85,18912
16-Oct-13,31.35,31.87,31.35,31.72,15130
15-Oct-13,31.50,31.75,31.31,31.56,49580
14-Oct-13,30.75,31.50,30.55,31.36,71787
11-Oct-13,30.45,31.50,29.42,31.24,30600
10-Oct-13,35.00,36.00,31.00,31.11,4321
