Date,Open,High,Low,Close,Volume
26-Mar-14,34.19,34.50,33.31,33.46,611916
25-Mar-14,34.19,34.54,33.66,34.04,498802
24-Mar-14,34.51,34.82,33.76,34.08,807884
21-Mar-14,34.18,34.64,34.09,34.33,801948
20-Mar-14,34.04,34.37,33.68,34.18,620820
19-Mar-14,34.94,35.06,34.06,34.37,476122
18-Mar-14,34.45,35.02,34.16,34.94,496016
17-Mar-14,34.02,34.83,33.97,34.48,854995
14-Mar-14,34.19,35.23,34.09,34.41,715111
13-Mar-14,35.66,36.07,34.04,34.19,1902430
12-Mar-14,35.31,36.41,35.25,35.56,1107060
11-Mar-14,35.16,36.04,35.06,35.30,1743210
10-Mar-14,33.02,35.22,33.02,35.08,1946683
7-Mar-14,35.02,36.43,32.90,33.16,5734177
6-Mar-14,34.91,35.17,33.98,34.00,2176459
5-Mar-14,35.53,35.85,34.45,34.74,1318990
4-Mar-14,34.08,35.68,34.07,35.53,1492487
3-Mar-14,33.25,33.97,32.85,33.87,960304
28-Feb-14,31.46,33.70,31.46,33.50,925145
27-Feb-14,32.75,33.05,32.32,32.85,541853
26-Feb-14,33.01,33.33,32.67,32.89,635117
25-Feb-14,32.92,33.55,32.83,32.92,895077
24-Feb-14,32.31,33.13,32.13,32.90,1039578
21-Feb-14,31.49,32.57,31.49,32.31,951972
20-Feb-14,33.26,33.70,31.35,31.79,2377245
19-Feb-14,34.08,34.69,34.01,34.37,589152
18-Feb-14,34.59,34.69,33.84,34.22,810860
14-Feb-14,34.24,34.94,34.01,34.60,604539
13-Feb-14,34.00,34.31,33.81,34.26,870711
12-Feb-14,34.00,34.80,33.83,34.56,829425
11-Feb-14,33.73,34.47,33.23,34.07,871026
10-Feb-14,33.69,33.92,33.48,33.58,652484
7-Feb-14,33.98,34.67,33.24,33.71,740701
6-Feb-14,34.23,34.52,33.88,34.20,948580
5-Feb-14,33.90,34.63,33.85,34.03,976323
4-Feb-14,33.96,34.46,33.85,33.89,578930
3-Feb-14,34.93,35.07,33.72,33.81,835895
31-Jan-14,34.78,35.40,34.76,34.96,644580
30-Jan-14,35.21,35.49,34.99,35.16,476881
29-Jan-14,35.42,35.66,34.90,35.05,849330
28-Jan-14,34.72,35.63,34.72,35.36,461096
27-Jan-14,36.09,36.43,34.92,35.06,770972
24-Jan-14,35.57,36.50,35.36,36.13,983035
23-Jan-14,35.11,35.71,34.72,35.64,1104528
22-Jan-14,36.19,36.33,35.02,35.40,1060498
21-Jan-14,36.35,36.75,34.87,36.02,3380179
17-Jan-14,37.78,38.08,36.24,36.38,1271993
16-Jan-14,39.72,39.77,37.93,38.00,1171294
15-Jan-14,39.75,40.39,39.40,39.90,967232
14-Jan-14,38.55,39.66,38.46,39.65,686691
13-Jan-14,38.89,38.97,38.36,38.52,1035776
10-Jan-14,38.62,39.04,38.11,38.82,1434751
9-Jan-14,40.94,41.17,38.36,38.65,2384125
8-Jan-14,41.06,41.18,40.51,40.84,819459
7-Jan-14,39.42,41.08,39.34,40.96,714137
6-Jan-14,40.83,40.85,39.12,39.23,1573103
3-Jan-14,39.86,40.94,39.73,40.72,914700
2-Jan-14,40.31,40.64,39.74,39.83,768387
31-Dec-13,41.06,41.13,40.30,40.50,447255
30-Dec-13,40.71,41.45,40.67,40.96,500613
27-Dec-13,40.72,40.95,40.47,40.81,381984
26-Dec-13,40.67,41.05,40.55,40.67,326929
24-Dec-13,39.98,40.60,39.98,40.55,189183
23-Dec-13,40.34,40.72,39.67,40.04,758959
20-Dec-13,40.68,41.18,40.29,40.41,773495
19-Dec-13,40.05,40.64,39.97,40.56,572880
18-Dec-13,39.37,40.48,39.36,40.39,958961
17-Dec-13,39.65,39.91,38.92,39.38,686329
16-Dec-13,39.92,40.36,39.13,39.67,1119199
13-Dec-13,40.44,40.77,39.56,40.02,1006021
12-Dec-13,41.05,41.28,40.33,40.54,811651
