Date,Open,High,Low,Close,Volume
4-Apr-14,67.29,67.69,66.42,66.51,3889885
3-Apr-14,67.22,67.61,66.72,66.75,4714218
2-Apr-14,66.23,67.16,66.02,67.06,5394136
1-Apr-14,65.71,66.15,65.62,66.03,4655414
31-Mar-14,64.86,65.51,64.62,65.33,5392522
28-Mar-14,63.83,65.01,63.61,64.65,4669856
27-Mar-14,64.25,64.25,63.27,63.47,7305667
26-Mar-14,65.77,66.00,64.63,64.65,4789498
25-Mar-14,65.56,65.91,64.62,65.55,6419229
24-Mar-14,66.48,66.60,64.96,65.33,3809040
21-Mar-14,67.19,67.41,66.24,66.34,6130163
20-Mar-14,66.83,67.10,66.34,66.50,3944904
19-Mar-14,67.36,67.65,66.79,67.08,3459280
18-Mar-14,66.82,67.83,66.74,67.20,2940723
17-Mar-14,66.84,67.09,66.54,66.67,3336108
14-Mar-14,66.66,67.09,66.50,66.58,3365432
13-Mar-14,67.47,67.75,66.29,66.69,6292923
12-Mar-14,67.29,67.69,66.75,67.26,5198903
11-Mar-14,69.01,69.01,67.51,67.68,5619382
10-Mar-14,68.19,68.69,67.66,68.53,5470095
7-Mar-14,69.23,69.33,68.11,68.30,6488279
6-Mar-14,68.57,69.02,68.55,68.93,5880911
5-Mar-14,67.21,68.80,66.98,68.48,6701066
4-Mar-14,67.15,67.70,66.98,66.98,5826181
3-Mar-14,66.72,67.14,66.10,66.47,4649413
28-Feb-14,66.29,67.63,65.67,67.13,7495396
27-Feb-14,64.38,65.87,64.04,65.77,6411957
26-Feb-14,64.70,64.75,64.14,64.69,7791574
25-Feb-14,64.90,65.25,64.53,64.78,3880564
24-Feb-14,64.96,65.28,64.80,65.01,5368553
21-Feb-14,64.90,64.96,64.66,64.73,5604842
20-Feb-14,64.74,65.20,64.44,64.98,5193232
19-Feb-14,65.48,65.59,64.52,64.62,5197354
18-Feb-14,65.24,65.85,65.06,65.30,3481515
14-Feb-14,64.42,65.87,64.29,65.30,4193825
13-Feb-14,64.90,65.36,64.46,64.60,5307848
12-Feb-14,64.63,65.22,64.63,65.06,4543452
11-Feb-14,63.52,65.09,63.45,64.84,6618518
10-Feb-14,63.40,64.26,63.31,63.65,6122040
7-Feb-14,63.70,64.62,63.44,63.91,5524252
6-Feb-14,63.44,63.56,62.37,63.29,7684125
5-Feb-14,62.20,63.72,60.72,63.09,9900061
4-Feb-14,61.98,62.81,61.64,62.40,7205711
3-Feb-14,62.83,62.89,61.39,61.52,8873196
31-Jan-14,62.83,63.53,62.49,62.83,9588525
30-Jan-14,62.96,64.26,62.86,63.40,8158451
29-Jan-14,62.55,63.03,62.08,62.32,7576243
