Date,Open,High,Low,Close,Volume
4-Apr-14,87.41,87.75,84.48,84.74,2801522
3-Apr-14,87.73,88.03,86.78,87.16,2039187
2-Apr-14,87.43,87.86,86.55,87.37,3017323
1-Apr-14,86.04,86.77,85.69,86.72,2740836
31-Mar-14,85.20,85.67,84.95,84.99,1660582
28-Mar-14,83.89,85.39,83.83,84.69,2014587
27-Mar-14,84.46,84.73,83.42,84.00,2331423
26-Mar-14,85.89,86.08,84.64,84.67,2336272
25-Mar-14,85.95,86.26,84.41,85.42,2906688
24-Mar-14,86.88,87.26,85.00,85.86,2600184
21-Mar-14,88.68,89.27,86.92,87.03,4107723
20-Mar-14,87.70,88.14,86.84,87.52,1823529
19-Mar-14,88.56,88.92,87.45,87.85,1832139
18-Mar-14,88.59,89.17,87.78,88.41,1762294
17-Mar-14,88.00,88.67,87.70,88.24,1666032
14-Mar-14,86.77,87.86,86.77,87.08,2372858
13-Mar-14,88.56,88.86,86.84,87.10,1950515
12-Mar-14,87.20,88.24,86.88,88.20,2210081
11-Mar-14,88.96,89.24,87.81,88.22,2526587
10-Mar-14,88.00,88.93,87.06,88.90,2856290
7-Mar-14,88.44,89.04,87.91,88.27,2412223
6-Mar-14,86.91,88.34,86.89,87.97,2353844
5-Mar-14,87.39,87.51,86.30,87.13,1979798
4-Mar-14,86.79,87.42,86.56,86.94,2431522
3-Mar-14,87.33,87.37,85.33,85.90,2857160
28-Feb-14,87.01,88.47,86.51,87.73,3059070
27-Feb-14,86.09,87.04,85.79,86.86,2130888
26-Feb-14,86.76,87.08,85.67,86.14,1978034
25-Feb-14,87.20,87.63,86.14,86.43,1904176
24-Feb-14,86.92,88.13,86.60,86.98,2444489
21-Feb-14,87.30,87.36,86.47,86.86,1759264
20-Feb-14,88.17,88.17,85.88,86.51,1782948
19-Feb-14,85.45,86.68,85.45,86.02,2025652
18-Feb-14,85.73,86.24,84.71,85.75,1960765
14-Feb-14,84.42,86.34,84.41,85.48,2115470
13-Feb-14,83.46,85.49,83.46,84.71,3183809
12-Feb-14,83.58,84.29,83.33,84.27,2362371
11-Feb-14,82.81,83.46,82.50,83.17,2127035
10-Feb-14,82.07,82.61,81.84,82.57,1775486
7-Feb-14,81.05,82.19,80.71,81.92,2104513
6-Feb-14,79.87,81.31,79.61,80.73,1882913
5-Feb-14,79.15,80.10,78.43,79.95,2582240
4-Feb-14,79.31,80.14,78.68,79.62,3360310
3-Feb-14,82.15,82.18,78.66,78.80,4095909
31-Jan-14,82.08,83.09,81.36,82.10,6061238
30-Jan-14,83.00,85.33,82.51,84.01,5672562
29-Jan-14,81.38,81.85,80.82,80.97,3424735
28-Jan-14,80.63,82.31,80.63,82.26,2493154
27-Jan-14,81.36,81.99,80.61,81.04,2893712
24-Jan-14,83.20,83.20,81.23,81.41,2710351
23-Jan-14,83.54,84.00,82.84,83.52,2464779
22-Jan-14,82.55,84.39,82.42,84.32,2892057
21-Jan-14,83.76,83.91,82.26,82.55,2939433
17-Jan-14,84.27,84.82,82.77,83.08,4233262
16-Jan-14,84.43,85.32,84.43,84.94,1512695
15-Jan-14,84.56,85.05,84.05,84.96,2933206
14-Jan-14,84.46,84.90,83.90,84.63,2246523
13-Jan-14,85.34,86.20,84.08,84.42,2575205
10-Jan-14,85.97,86.30,84.58,85.40,2186922
9-Jan-14,87.07,87.07,85.70,86.00,1422315
8-Jan-14,86.19,86.93,85.71,86.67,2257414
7-Jan-14,86.16,86.62,85.87,86.33,1805977
6-Jan-14,87.13,87.16,85.41,85.73,2331050
3-Jan-14,86.89,87.19,86.47,86.60,1554206
2-Jan-14,87.45,87.57,86.69,86.95,1613286
31-Dec-13,87.27,87.84,86.99,87.34,1971532
30-Dec-13,86.25,87.19,85.91,87.15,2344123
27-Dec-13,85.98,86.16,85.28,86.05,1276041
26-Dec-13,85.79,85.99,85.57,85.84,1685739
24-Dec-13,85.61,85.86,85.34,85.60,1019019
23-Dec-13,84.70,85.67,84.26,85.47,2577438
20-Dec-13,84.18,85.37,84.06,84.16,7198422
19-Dec-13,83.57,84.74,83.57,84.12,3757313
18-Dec-13,82.31,83.65,80.88,83.55,3437538
17-Dec-13,82.07,82.66,81.29,82.24,2513009
16-Dec-13,81.67,82.19,80.97,82.04,2718027
13-Dec-13,81.19,81.64,80.87,81.20,1914749
12-Dec-13,80.81,81.22,80.49,80.72,1777021
11-Dec-13,82.55,82.85,80.78,81.03,2593146
10-Dec-13,81.87,83.04,81.86,82.61,2859771
9-Dec-13,82.56,82.85,81.30,82.17,2715125
6-Dec-13,82.59,82.74,81.42,82.20,2380296
5-Dec-13,81.39,82.25,81.32,81.62,2208056
4-Dec-13,80.79,81.85,80.36,81.53,2963081
3-Dec-13,80.58,81.48,80.46,81.20,3440764
2-Dec-13,81.00,81.58,80.22,80.82,3317905
29-Nov-13,80.05,80.86,79.74,80.17,1431991
27-Nov-13,79.76,80.08,79.18,79.85,2773456
26-Nov-13,79.74,79.84,78.84,79.25,3794427
25-Nov-13,80.12,80.12,79.38,79.59,3169098
22-Nov-13,80.05,80.46,79.51,79.63,7887872
21-Nov-13,80.09,80.66,79.75,80.16,2910220
20-Nov-13,79.64,80.21,78.97,80.12,5411486
19-Nov-13,79.89,80.17,79.14,79.63,3314835
18-Nov-13,80.65,80.89,79.25,79.54,3927791
15-Nov-13,81.20,81.55,79.98,80.51,5026512
14-Nov-13,82.00,83.49,80.50,80.80,7294865
13-Nov-13,79.20,83.28,79.20,83.13,2730920
12-Nov-13,81.84,82.33,81.43,82.12,2076565
11-Nov-13,82.27,82.77,82.02,82.36,1334443
8-Nov-13,81.05,82.50,80.56,82.29,2575901
7-Nov-13,84.16,84.20,80.84,80.91,3245810
6-Nov-13,84.70,85.50,82.55,83.79,2936551
5-Nov-13,82.29,84.23,82.26,84.15,2752723
4-Nov-13,83.96,83.96,82.46,83.07,2059726
1-Nov-13,83.67,83.95,82.93,83.55,1798945
31-Oct-13,83.54,84.18,82.66,83.29,2404891
30-Oct-13,86.06,86.06,83.01,83.49,1637978
29-Oct-13,84.66,85.01,84.14,84.71,1775046
28-Oct-13,84.57,85.34,84.39,84.53,1847952
25-Oct-13,85.24,85.45,84.36,84.94,2147639
24-Oct-13,84.28,85.35,84.22,84.39,1581337
23-Oct-13,83.96,84.75,83.84,84.37,1925601
22-Oct-13,84.21,84.97,83.85,84.65,2086853
21-Oct-13,83.47,83.89,83.24,83.86,1791276
18-Oct-13,83.48,83.76,83.01,83.64,2841380
17-Oct-13,82.14,83.25,81.96,83.12,2266918
16-Oct-13,82.92,83.35,82.03,82.47,2739915
15-Oct-13,82.80,83.07,82.06,82.55,1922103
14-Oct-13,81.67,82.90,80.40,82.84,1512218
11-Oct-13,79.82,82.03,79.82,82.00,2691482
10-Oct-13,81.10,81.66,80.72,81.05,3923009
9-Oct-13,80.86,80.89,79.29,80.17,3511218
8-Oct-13,82.33,82.34,80.50,80.59,2936294
7-Oct-13,82.44,83.19,82.21,82.34,1557263
4-Oct-13,82.40,83.34,81.92,83.20,1893643
3-Oct-13,82.40,83.00,81.70,82.15,2349495
2-Oct-13,83.52,83.68,82.23,82.83,3280784
1-Oct-13,83.78,84.43,83.69,84.33,2024342
30-Sep-13,83.80,84.37,83.49,83.58,2633508
27-Sep-13,83.24,85.22,83.10,84.42,3276728
26-Sep-13,82.88,84.05,82.88,83.81,2649736
25-Sep-13,82.81,83.64,82.50,82.91,3068853
24-Sep-13,83.70,83.84,82.82,82.94,2872218
23-Sep-13,82.66,84.09,82.58,83.38,2933822
20-Sep-13,83.44,84.45,83.02,83.14,6297156
19-Sep-13,83.26,84.50,83.02,83.20,3164200
18-Sep-13,83.26,83.82,82.48,83.20,3144281
17-Sep-13,84.60,84.60,82.87,83.14,2940081
16-Sep-13,83.58,83.72,82.69,82.75,2878110
13-Sep-13,82.49,82.98,81.90,82.27,2761336
12-Sep-13,81.84,83.48,81.82,82.55,4094222
11-Sep-13,81.77,82.24,81.00,82.05,3863513
10-Sep-13,81.00,81.12,80.50,80.75,3415449
9-Sep-13,80.37,80.85,80.13,80.39,3165796
6-Sep-13,80.53,81.06,79.00,80.29,3263078
5-Sep-13,78.74,80.55,78.74,79.91,3020569
4-Sep-13,79.69,81.20,79.46,80.10,3738413
3-Sep-13,80.74,81.68,79.51,79.91,3528693
30-Aug-13,79.43,80.09,79.19,79.56,2735240
29-Aug-13,78.95,80.23,78.66,79.41,2416381
28-Aug-13,78.47,79.91,78.41,79.41,3054893
27-Aug-13,78.65,79.90,78.28,78.32,3701960
26-Aug-13,79.13,80.96,79.13,79.51,2839515
23-Aug-13,78.14,79.99,78.14,79.43,2585043
22-Aug-13,77.86,79.97,77.86,79.59,2239960
21-Aug-13,78.05,79.17,77.81,77.93,3153804
20-Aug-13,78.05,79.02,77.67,78.24,3011443
19-Aug-13,77.75,78.72,77.65,77.68,3246554
16-Aug-13,77.85,79.35,76.78,78.51,2892897
15-Aug-13,78.93,79.04,78.12,78.17,2980221
14-Aug-13,79.64,80.00,79.36,79.56,2344118
13-Aug-13,79.94,80.48,79.43,79.74,3085465
12-Aug-13,79.88,80.40,79.45,79.59,2715724
9-Aug-13,79.75,80.68,79.75,80.15,2497633
8-Aug-13,80.01,80.64,79.39,80.10,3432060
7-Aug-13,78.42,79.86,78.42,79.43,3961260
6-Aug-13,78.36,79.16,78.27,78.85,3954108
5-Aug-13,78.57,79.50,77.95,78.75,5352671
2-Aug-13,79.05,80.93,78.35,79.17,9805627
1-Aug-13,73.52,74.49,73.28,74.36,2894944
31-Jul-13,72.42,73.24,72.34,72.77,1720348
30-Jul-13,72.79,72.82,71.83,72.14,2732124
29-Jul-13,72.84,73.00,71.94,72.28,1597515
26-Jul-13,72.10,73.16,72.00,73.04,1811308
25-Jul-13,72.92,73.14,71.90,72.87,2541091
24-Jul-13,74.01,74.28,72.43,72.61,2208830
23-Jul-13,74.90,74.90,73.10,73.72,1681449
22-Jul-13,74.89,74.89,73.06,73.32,2447843
19-Jul-13,74.83,74.84,73.54,74.36,3240846
18-Jul-13,72.96,74.45,72.25,74.08,3076030
17-Jul-13,72.26,72.81,71.90,72.67,1902926
16-Jul-13,72.19,72.73,71.57,71.94,1748703
15-Jul-13,71.99,72.72,71.83,72.32,1965111
12-Jul-13,70.99,72.13,70.77,72.01,2447312
11-Jul-13,71.13,71.91,70.48,70.83,2882414
10-Jul-13,69.15,70.26,69.01,70.15,1665452
9-Jul-13,70.01,70.59,68.84,69.08,3224874
8-Jul-13,69.60,70.05,69.51,69.82,2030491
5-Jul-13,68.74,69.39,68.56,69.31,1780271
3-Jul-13,66.85,68.70,66.83,68.44,1041931
2-Jul-13,67.51,67.96,66.82,67.54,2659892
1-Jul-13,68.52,68.76,67.70,67.79,1915801
28-Jun-13,67.27,68.62,67.13,68.03,4486517
27-Jun-13,67.46,68.22,67.32,67.66,1807716
26-Jun-13,66.39,67.20,65.98,67.12,2210091
25-Jun-13,65.69,66.46,65.46,65.62,2624515
24-Jun-13,65.26,65.77,64.55,65.20,3235474
21-Jun-13,65.77,66.11,65.03,65.72,4962496
20-Jun-13,66.35,66.45,65.06,65.25,2443792
19-Jun-13,67.79,68.09,66.87,66.87,2029039
18-Jun-13,67.09,68.00,67.01,67.60,1780849
17-Jun-13,67.05,67.94,66.86,67.28,2065702
14-Jun-13,66.69,67.62,66.50,66.77,1835553
13-Jun-13,65.52,66.99,65.10,66.95,2829907
12-Jun-13,67.14,67.32,65.09,65.26,3383459
11-Jun-13,66.71,67.67,66.28,67.02,2746962
10-Jun-13,67.80,67.82,67.25,67.54,2251293
7-Jun-13,66.73,68.05,66.32,67.81,2610727
6-Jun-13,66.12,66.49,65.29,66.32,2456076
5-Jun-13,66.85,67.05,65.73,66.21,2669017
4-Jun-13,67.28,68.45,66.76,67.04,2841613
3-Jun-13,66.04,66.96,65.28,66.93,2461738
31-May-13,67.84,67.92,65.87,65.89,4927521
30-May-13,68.63,68.79,67.94,67.95,2352633
29-May-13,68.85,68.96,68.23,68.43,2063977
28-May-13,69.46,70.03,68.80,69.36,3021738
24-May-13,68.53,69.25,67.70,68.96,1877212
